,Body ID,Headline,Stance
0,1872,কালীগঞ্ সা ব্যবসায়ী কুপি হত্,agree
1,1371,ভারতী রণতরী হামলা পরিকল্প জঙ্গিদ,unrelated
2,1310,সিরিয়া আইএ হামলা নি ২৫০,unrelated
3,1987,বিশ্ব কর্মসংস্থান গতি ধী হচ্ছে: আইএল,agree
4,2128,চেকপোস্ট পুলিশ পালা খুনি,unrelated
5,3121,বাস চাপা নি স্কুল শিক্ষার্থী শোকা রুব,unrelated
6,3780,নেইমা ব্রাজিলিয়ানদ রাগঅনুরাগ,unrelated
7,611,রাজশাহী ঋত্বিক সম্মান পদক বিতরণ চলচ্চিত্ উৎ,agree
8,202,শিক্ষার্থীদ দা মূখ বেরো শিক্ষক নিয়োগ বাতিল,unrelated
9,89,ছিলাম বিশ্বকাপ হানি শট : কলম্বিয়ান মড,agree
10,2567,শিগগি বিশ্ব শীর্ষ ব্র্যান্ড পরিণত ওয়ালটন,unrelated
11,1659,স্ট্রোক রোগীদ জী বাঁচাব সেন্স প্যাচ,unrelated
12,1169,মিরপুর র‌্যাব বন্দুকযুদ্ধ মাদক ব্যবসায়ী নি,agree
13,3800,উৎসব সম বিদেশি সিনেমা প্রদর্শন নয়: সুপ্রিম কোর্ট,agree
14,3457,ফাহিমা হ্যাটট্রি গ্রুপ চ্যাম্পিয়ন বাংলাদেশ,unrelated
15,211,নিউইয়র্ কবিগুরু ১৫৭তম জন্মজয়ন্তী উদযাপন,agree
16,198,পাকিস্তান ৭ উইকাট হারালো বাংলাদাশ মা,unrelated
17,455,২০২৩ অ্যাথলেটিকো থাকছ গ্রিজম্,agree
18,2584,ব‌রিশাল ব্যবধান এ নৌকা প্রতী সাদিক,agree
19,2848,মাইগ্র চিকিত্সা সুখব,agree
20,172,রক্ গ্লুকোজ মাত্ হ লক্ষণ,agree
21,1047,পোশা ফোক মোটিফ,unrelated
22,1589,জাতী বিশ্ববিদ্যালয়: ১ম বর্ষ স্নাতক পাস ভর্তি ২ রিলিজ স্লিপ,unrelated
23,1470,ঝিনাইদহ মাদক ব্যবসায়ী যাবজ্জী কারাদণ্ড,unrelated
24,1636,গ্রাউন্ড স্টেশন সিগন্যাল দি কক্ষপথ এগো বঙ্গবন্ধু স্যাটেলাইট১,unrelated
25,2018,মাঝারি ধরন ভারি বৃষ্,agree
26,3192,বৃষ্ আইন ওয়েস্ট ইন্ডিজ লক্ষ্য ১১ ওভার ৯১,agree
27,3269,ভোট পা নাগরিক তালিকা বিজেপি: মম,unrelated
28,3359,নিউইয়র্ গণহত্ দিবস পালন,unrelated
29,3617,ইরান শিগগি বৈঠক : ট্রাম্প,unrelated
30,755,খালেদা জিয়া সাজা বৃদ্ধি হাইকোর্ট রুল,unrelated
31,4487,আর্জেন্টিনা মিলল ৯২০ কেজি এমবাপ্প,agree
32,3450,নাইকো মামলা: খালেদা জিয়া বিরুদ্ধ অভিযোগ গঠন শুনানি ১৩ ম,agree
33,958,নিউইয়র্ বাংলা নববর্ষ উদযাপন,unrelated
34,1181,শিশু ধর্ষণ হত্ ৩০ বছ ধর্ষক গ্রেফ,agree
35,1990,রুশ মার্কিন পররাষ্ট্রমন্ত্রী দ্বিপাক্ষিক ইস্যু আলোচ,unrelated
36,3748,রক্ত পরীক্ষা মিলব ক্যান্সার পূর্বাভাস,unrelated
37,2223,পিএসজি যোগ বুফন,agree
38,4123,রাধিকা খুঁজ স,agree
39,1907,রোজা শারীরিক মানসিক উপকা,agree
